"ID";"EigenaarBewoner";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"GemiddeldeHypotheekschuldEigenWoning_2";"GemiddeldeWaardeEigenWoning_3";"GemiddeldBrutoInkomen_4";"GemiddeldBesteedbaarInkomen_5";"HypotheekschuldWoningwaarde_6";"HypotheekschuldBrutoInkomen_7";"HypotheekschuldBesteedbaarInkomen_8";"GeenSchuld_9";"k_0Tot07_10";"k_07Tot08_11";"k_08Tot09_12";"k_09Tot10_13";"k_1OfHoger_14";"GeenSchuld_15";"k_0Tot2_16";"k_2Tot4_17";"k_4OfHoger_18";"GeenSchuld_19";"k_0Tot35_20";"k_35Tot7_21";"k_7OfHoger_22"
"0";"T001628";"1050010";"2006JJ00";"  3764.0";"   128.0";"   274.1";"       .";"       .";"    0.45";"       .";"       .";"   529.3";"  2019.8";"   222.5";"   219.5";"   246.5";"   526.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1";"T001628";"1050010";"2007JJ00";"  3841.5";"   136.4";"   291.5";"       .";"       .";"    0.46";"       .";"       .";"   533.2";"  2041.0";"   239.8";"   256.1";"   293.0";"   478.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2";"T001628";"1050010";"2008JJ00";"  3932.9";"   144.5";"   303.8";"       .";"       .";"    0.48";"       .";"       .";"   546.5";"  2044.3";"   256.4";"   279.5";"   319.9";"   486.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"3";"T001628";"1050010";"2009JJ00";"  4084.4";"   147.6";"   301.5";"       .";"       .";"    0.49";"       .";"       .";"   665.9";"  1943.1";"   256.3";"   272.1";"   306.1";"   640.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"4";"T001628";"1050010";"2010JJ00";"  4134.1";"   151.0";"   282.3";"       .";"       .";"    0.55";"       .";"       .";"   678.7";"  1781.4";"   246.0";"   251.4";"   271.3";"   905.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"5";"T001628";"1050010";"2011JJ00";"  4160.8";"   154.4";"   283.8";"    79.6";"    47.0";"    0.56";"     1.9";"     3.1";"   656.4";"  1791.6";"   255.5";"   264.8";"   285.6";"   906.9";"   656.4";"  1560.8";"  1438.3";"   505.4";"   656.4";"  1633.8";"  1446.2";"   424.4"
"6";"T001628";"1050010";"2012JJ00";"  4195.2";"   158.5";"   270.7";"    80.7";"    47.3";"    0.61";"     1.9";"     3.2";"   629.8";"  1685.0";"   250.2";"   256.1";"   275.0";"  1099.2";"   629.8";"  1567.9";"  1478.8";"   518.8";"   629.8";"  1620.1";"  1506.9";"   438.5"
"7";"T001628";"1050010";"2013JJ00";"  4226.7";"   159.0";"   243.3";"    81.7";"    47.7";"    0.69";"     1.9";"     3.2";"   628.7";"  1499.5";"   229.8";"   231.2";"   240.8";"  1396.6";"   628.7";"  1586.9";"  1501.3";"   509.7";"   628.7";"  1642.0";"  1540.1";"   415.8"
"8";"T001628";"1050010";"2014JJ00";"  4254.4";"   156.5";"   242.2";"    85.4";"    50.6";"    0.69";"     1.8";"     3.1";"   667.5";"  1480.1";"   233.2";"   236.9";"   251.0";"  1385.8";"   667.5";"  1634.0";"  1491.8";"   461.2";"   667.5";"  1711.8";"  1523.2";"   351.9"
"9";"T001628";"1050010";"2015JJ00";"  4287.0";"   153.5";"   247.8";"    83.2";"    49.8";"    0.66";"     1.8";"     3.0";"   724.9";"  1505.2";"   244.5";"   253.8";"   275.3";"  1283.3";"   724.9";"  1617.6";"  1497.7";"   446.8";"   724.9";"  1735.8";"  1499.4";"   326.8"
"10";"T001628";"1050010";"2016JJ00";"  4327.4";"   153.8";"   257.5";"    85.8";"    52.0";"    0.64";"     1.8";"     2.9";"   719.5";"  1587.3";"   265.4";"   284.5";"   338.7";"  1132.0";"   719.5";"  1697.5";"  1499.9";"   410.5";"   719.5";"  1854.6";"  1469.0";"   284.4"
"11";"T001628";"1050010";"2017JJ00";"  4369.3";"   154.5";"   274.9";"    90.1";"    54.0";"    0.61";"     1.7";"     2.9";"   731.3";"  1707.8";"   305.5";"   345.1";"   428.3";"   851.3";"   731.3";"  1779.5";"  1489.2";"   369.3";"   731.3";"  1927.6";"  1453.6";"   256.8"
"12";"T001628";"1050010";"2018JJ00";"  4415.7";"   156.4";"   297.3";"    92.0";"    55.2";"    0.57";"     1.7";"     2.8";"   746.7";"  1876.3";"   366.7";"   430.3";"   410.5";"   585.3";"   746.7";"  1845.4";"  1474.5";"   349.2";"   746.7";"  1994.7";"  1431.7";"   242.7"
"13";"T001628";"1050010";"2019JJ00";"  4456.2";"   158.8";"   323.6";"    98.5";"    59.8";"    0.53";"     1.6";"     2.7";"   751.2";"  2124.0";"   440.1";"   440.5";"   322.6";"   377.8";"   751.2";"  1964.2";"  1416.2";"   324.7";"   751.2";"  2129.5";"  1354.1";"   221.4"
"14";"T001628";"1050010";"2020JJ00";"  4487.2";"   159.3";"   345.7";"    99.2";"    60.3";"    0.49";"     1.6";"     2.6";"   773.4";"  2339.4";"   457.1";"   390.8";"   256.4";"   270.0";"   773.4";"  2026.3";"  1369.7";"   317.8";"   773.4";"  2222.6";"  1278.8";"   212.4"
"15";"T001628";"1050010";"2021JJ00";"  4502.1";"   162.8";"   380.9";"   102.8";"    62.8";"    0.45";"     1.6";"     2.5";"   767.5";"  2659.9";"   427.9";"   305.7";"   166.2";"   174.9";"   767.5";"  2067.6";"  1352.5";"   314.6";"   767.5";"  2290.8";"  1234.3";"   209.6"
"16";"T001628";"1050015";"2006JJ00";"   724.4";"    91.1";"   232.3";"       .";"       .";"    0.37";"       .";"       .";"   179.8";"   313.5";"    36.8";"    39.9";"    49.1";"   105.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"17";"T001628";"1050015";"2007JJ00";"   754.7";"    97.3";"   247.6";"       .";"       .";"    0.39";"       .";"       .";"   181.3";"   326.1";"    41.1";"    49.3";"    61.4";"    95.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18";"T001628";"1050015";"2008JJ00";"   788.8";"   103.2";"   256.8";"       .";"       .";"    0.41";"       .";"       .";"   186.4";"   335.0";"    45.1";"    54.8";"    68.5";"    99.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
